       y+            Prod.           Diss.       Turb_Diff.     Mole_Diff.        Res.    
   0.353406e+03   0.502470e-03  -0.267006e-02   0.207701e-02   0.271831e-04  -0.634000e-04
   0.355539e+03   0.459031e-03  -0.264996e-02   0.209532e-02   0.267241e-04  -0.688870e-04
   0.357671e+03   0.419288e-03  -0.262982e-02   0.211150e-02   0.247617e-04  -0.742679e-04
   0.359804e+03   0.383343e-03  -0.261013e-02   0.212409e-02   0.232814e-04  -0.794207e-04
   0.361937e+03   0.350907e-03  -0.259103e-02   0.213389e-02   0.218402e-04  -0.843928e-04
   0.364069e+03   0.321679e-03  -0.257269e-02   0.214193e-02   0.198869e-04  -0.891903e-04
   0.366202e+03   0.295441e-03  -0.255523e-02   0.214825e-02   0.175641e-04  -0.939759e-04
   0.368335e+03   0.271878e-03  -0.253889e-02   0.215230e-02   0.157439e-04  -0.989631e-04
   0.370468e+03   0.250503e-03  -0.252423e-02   0.215371e-02   0.159130e-04  -0.104110e-03
   0.372601e+03   0.230757e-03  -0.251151e-02   0.215374e-02   0.178555e-04  -0.109162e-03
   0.374734e+03   0.212202e-03  -0.250035e-02   0.215498e-02   0.193918e-04  -0.113775e-03
   0.376867e+03   0.194688e-03  -0.249040e-02   0.215895e-02   0.190770e-04  -0.117691e-03
   0.379000e+03   0.178283e-03  -0.248152e-02   0.216474e-02   0.176114e-04  -0.120879e-03
   0.381134e+03   0.163102e-03  -0.247333e-02   0.217054e-02   0.162283e-04  -0.123461e-03
   0.383267e+03   0.149280e-03  -0.246564e-02   0.217525e-02   0.155915e-04  -0.125524e-03
   0.385400e+03   0.137067e-03  -0.245896e-02   0.217832e-02   0.165197e-04  -0.127055e-03
   0.387534e+03   0.126819e-03  -0.245389e-02   0.217983e-02   0.192324e-04  -0.128010e-03
   0.389667e+03   0.118888e-03  -0.245047e-02   0.218086e-02   0.222523e-04  -0.128474e-03
   0.391800e+03   0.113499e-03  -0.244840e-02   0.218234e-02   0.239819e-04  -0.128581e-03
   0.393933e+03   0.110770e-03  -0.244738e-02   0.218388e-02   0.241578e-04  -0.128580e-03
